kosisCode7,hjdongCode8,name
2405051,24050510,송정1동
2405052,24050520,송정2동
1106073,11060730,휘경2동
2405054,24050540,도산동
2405055,24050550,신흥동
2405056,24050560,어룡동
2405058,24050580,우산동
2405059,24050590,월곡1동
2405060,24050600,월곡2동
2405061,24050610,비아동
2405069,24050690,첨단1동
2405070,24050700,첨단2동
2405074,24050740,신가동
1106089,11060890,이문1동
2405075,24050750,수완동
2405073,24050730,신창동
2405071,24050710,운남동
2405063,24050630,하남동
2405064,24050640,임곡동
2405065,24050650,동곡동
2405066,24050660,평동
2405067,24050670,삼도동
2405068,24050680,본량동
1106090,11060900,이문2동
2501076,25010760,중앙동
2501077,25010770,신인동
2501053,25010530,효동
2501055,25010550,판암1동
2501056,25010560,판암2동
1101060,11010600,가회동
2501057,25010570,용운동
2501078,25010780,대동
2501060,25010600,자양동
2501063,25010630,가양1동
2501064,25010640,가양2동
2501065,25010650,용전동
2501079,25010790,성남동
2501068,25010680,홍도동
2501080,25010800,삼성동
2501073,25010730,대청동
2501075,25010750,산내동
2502051,25020510,은행선화동
2502053,25020530,목동
2502054,25020540,중촌동
2502055,25020550,대흥동
2502056,25020560,문창동
2502057,25020570,석교동
2502058,25020580,대사동
2502059,25020590,부사동
2502060,25020600,용두동
2502062,25020620,오류동
2502063,25020630,태평1동
2502064,25020640,태평2동
2502065,25020650,유천1동
2502066,25020660,유천2동
1107071,11070710,면목본동
2502067,25020670,문화1동
2502068,25020680,문화2동
2502069,25020690,산성동
2503051,25030510,복수동
2503052,25030520,도마1동
2503053,25030530,도마2동
2503054,25030540,정림동
2503055,25030550,변동
2503056,25030560,용문동
2503057,25030570,탄방동
2503074,25030740,둔산3동
2503059,25030590,둔산1동
2503060,25030600,둔산2동
2503061,25030610,괴정동
2503062,25030620,가장동
2503063,25030630,내동
2503064,25030640,갈마1동
2503065,25030650,갈마2동
1107052,11070520,면목2동
2503066,25030660,월평1동
2503067,25030670,월평2동
2503068,25030680,월평3동
2503069,25030690,만년동
2503070,25030511,가수원동
2503072,25030720,관저1동
2503073,25030730,관저2동
2503071,25030710,기성동
1107072,11070720,면목3·8동
2504051,25040680,진잠동
2504064,25040640,온천1동
2504065,25040710,원신흥동
2504054,25040540,온천2동
2504059,25040590,노은1동
2504066,25040660,노은2동
2504067,25040670,노은3동
2504055,25040550,신성동
2504057,25040570,전민동
2504061,25040610,구즉동
2504063,25040630,관평동
2505051,25050510,오정동
2505052,25050520,대화동
2505053,25050530,회덕동
2505054,25050540,비래동
2505062,25050620,송촌동
2505055,25050550,중리동
2505056,25050560,법1동
1107054,11070540,면목4동
2505057,25050570,법2동
2505058,25050580,신탄진동
2505059,25050590,석봉동
2505060,25050600,덕암동
2505061,25050610,목상동
2601051,26010510,학성동
1107055,11070550,면목5동
2601052,26010520,반구1동
2601053,26010530,반구2동
2601054,26010540,복산1동
2601055,26010550,복산2동
2601066,26010660,성안동
2601067,26010670,중앙동
2601059,26010590,우정동
2601060,26010600,태화동
2601061,26010610,다운동
1101061,11010610,종로1·2·3·4가동
1107057,11070570,면목7동
2601062,26010620,병영1동
2601063,26010630,병영2동
2601064,26010640,약사동
2602051,26020510,신정1동
2602052,26020520,신정2동
2602053,26020530,신정3동
2602054,26020540,신정4동
2602055,26020550,신정5동
1107059,11070590,상봉1동
2602056,26020560,달동
2602057,26020570,삼산동
2602058,26020580,삼호동
2602059,26020590,무거동
2602060,26020600,옥동
2602061,26020610,야음장생포동
2602062,26020620,대현동
2602063,26020630,수암동
2602064,26020640,선암동
1107060,11070600,상봉2동
2603051,26030510,방어동
2603052,26030520,일산동
2603053,26030530,화정동
2603054,26030540,대송동
2603055,26030550,전하1동
2603061,26030610,전하2동
2603058,26030580,남목1동
2603059,26030590,남목2동
1107061,11070610,중화1동
2603060,26030600,남목3동
2604051,26040510,농소1동
2604052,26040520,농소2동
2604053,26040530,농소3동
2604054,26040540,강동동
2604056,26040560,효문동
2604057,26040570,송정동
2604058,26040580,양정동
1107062,11070620,중화2동
2604059,26040590,염포동
2631011,26510110,온산읍
2631012,26510120,언양읍
2631013,26510130,온양읍
2631014,26510140,범서읍
2631031,26510310,서생면
2631015,26510150,청량읍
2631034,26510340,웅촌면
2631036,26510360,두동면
2631037,26510370,두서면
2631038,26510380,상북면
2631016,26510160,삼남읍
2631040,26510400,삼동면
2901011,29010110,조치원읍
1107064,11070640,묵1동
2901031,29010311,연기면
2901032,29010312,연동면
2901033,29010330,부강면
2901034,29010340,금남면
2901035,29010350,장군면
2901036,29010360,연서면
2901037,29010370,전의면
2901038,29010380,전동면
2901039,29010390,소정면
2901061,29010610,한솔동
1107065,11070650,묵2동
2901067,29010511,새롬동
